,Altitude,Latitude,Longitude,Ano,Mês,Máximos,Município/Posto,Bacia
0,735.0,-7.5118,-37.6366,1994.0,1.0,72.0,Agua Branca,Piancó
12,735.0,-7.5118,-37.6366,1995.0,1.0,102.0,Agua Branca,Piancó
24,735.0,-7.5118,-37.6366,1996.0,1.0,9.8,Agua Branca,Piancó
36,735.0,-7.5118,-37.6366,1997.0,1.0,44.0,Agua Branca,Piancó
48,735.0,-7.5118,-37.6366,1998.0,1.0,31.0,Agua Branca,Piancó
60,735.0,-7.5118,-37.6366,1999.0,1.0,64.0,Agua Branca,Piancó
72,735.0,-7.5118,-37.6366,2000.0,1.0,42.0,Agua Branca,Piancó
84,735.0,-7.5118,-37.6366,2001.0,1.0,6.2,Agua Branca,Piancó
96,735.0,-7.5118,-37.6366,2002.0,1.0,132.4,Agua Branca,Piancó
108,735.0,-7.5118,-37.6366,2003.0,1.0,43.4,Agua Branca,Piancó
120,735.0,-7.5118,-37.6366,2004.0,1.0,56.6,Agua Branca,Piancó
132,735.0,-7.5118,-37.6366,2005.0,1.0,60.6,Agua Branca,Piancó
144,735.0,-7.5118,-37.6366,2006.0,1.0,1.0,Agua Branca,Piancó
156,735.0,-7.5118,-37.6366,2007.0,1.0,21.0,Agua Branca,Piancó
168,735.0,-7.5118,-37.6366,2008.0,1.0,25.0,Agua Branca,Piancó
180,735.0,-7.5118,-37.6366,2009.0,1.0,37.0,Agua Branca,Piancó
192,735.0,-7.5118,-37.6366,2010.0,1.0,81.0,Agua Branca,Piancó
204,735.0,-7.5118,-37.6366,2011.0,1.0,39.0,Agua Branca,Piancó
216,735.0,-7.5118,-37.6366,2012.0,1.0,18.8,Agua Branca,Piancó
228,735.0,-7.5118,-37.6366,2013.0,1.0,14.2,Agua Branca,Piancó
240,735.0,-7.5118,-37.6366,2014.0,1.0,7.0,Agua Branca,Piancó
252,735.0,-7.5118,-37.6366,2015.0,1.0,47.0,Agua Branca,Piancó
264,735.0,-7.5118,-37.6366,2016.0,1.0,43.0,Agua Branca,Piancó
276,735.0,-7.5118,-37.6366,2017.0,1.0,19.2,Agua Branca,Piancó
288,735.0,-7.5118,-37.6366,2018.0,1.0,46.0,Agua Branca,Piancó
300,735.0,-7.5118,-37.6366,2019.0,1.0,8.0,Agua Branca,Piancó
312,735.0,-7.5118,-37.6366,2020.0,1.0,23.0,Agua Branca,Piancó
324,735.0,-7.5118,-37.6366,2021.0,1.0,9.0,Agua Branca,Piancó
336,735.0,-7.5118,-37.6366,2022.0,1.0,13.8,Agua Branca,Piancó
348,735.0,-7.5118,-37.6366,2023.0,1.0,15.0,Agua Branca,Piancó
360,735.0,-7.5118,-37.6366,2024.0,1.0,40.0,Agua Branca,Piancó
2,735.0,-7.5118,-37.6366,1994.0,3.0,70.0,Agua Branca,Piancó
14,735.0,-7.5118,-37.6366,1995.0,3.0,50.0,Agua Branca,Piancó
26,735.0,-7.5118,-37.6366,1996.0,3.0,58.8,Agua Branca,Piancó
38,735.0,-7.5118,-37.6366,1997.0,3.0,71.0,Agua Branca,Piancó
50,735.0,-7.5118,-37.6366,1998.0,3.0,36.4,Agua Branca,Piancó
62,735.0,-7.5118,-37.6366,1999.0,3.0,71.6,Agua Branca,Piancó
74,735.0,-7.5118,-37.6366,2000.0,3.0,39.4,Agua Branca,Piancó
86,735.0,-7.5118,-37.6366,2001.0,3.0,36.4,Agua Branca,Piancó
98,735.0,-7.5118,-37.6366,2002.0,3.0,54.2,Agua Branca,Piancó
110,735.0,-7.5118,-37.6366,2003.0,3.0,47.4,Agua Branca,Piancó
122,735.0,-7.5118,-37.6366,2004.0,3.0,34.4,Agua Branca,Piancó
134,735.0,-7.5118,-37.6366,2005.0,3.0,67.2,Agua Branca,Piancó
146,735.0,-7.5118,-37.6366,2006.0,3.0,80.0,Agua Branca,Piancó
158,735.0,-7.5118,-37.6366,2007.0,3.0,47.0,Agua Branca,Piancó
170,735.0,-7.5118,-37.6366,2008.0,3.0,62.6,Agua Branca,Piancó
182,735.0,-7.5118,-37.6366,2009.0,3.0,36.8,Agua Branca,Piancó
194,735.0,-7.5118,-37.6366,2010.0,3.0,26.0,Agua Branca,Piancó
206,735.0,-7.5118,-37.6366,2011.0,3.0,21.0,Agua Branca,Piancó
218,735.0,-7.5118,-37.6366,2012.0,3.0,5.4,Agua Branca,Piancó
230,735.0,-7.5118,-37.6366,2013.0,3.0,17.8,Agua Branca,Piancó
242,735.0,-7.5118,-37.6366,2014.0,3.0,27.0,Agua Branca,Piancó
254,735.0,-7.5118,-37.6366,2015.0,3.0,44.0,Agua Branca,Piancó
266,735.0,-7.5118,-37.6366,2016.0,3.0,75.2,Agua Branca,Piancó
278,735.0,-7.5118,-37.6366,2017.0,3.0,47.6,Agua Branca,Piancó
290,735.0,-7.5118,-37.6366,2018.0,3.0,57.4,Agua Branca,Piancó
302,735.0,-7.5118,-37.6366,2019.0,3.0,44.0,Agua Branca,Piancó
314,735.0,-7.5118,-37.6366,2020.0,3.0,47.0,Agua Branca,Piancó
326,735.0,-7.5118,-37.6366,2021.0,3.0,27.0,Agua Branca,Piancó
338,735.0,-7.5118,-37.6366,2022.0,3.0,82.0,Agua Branca,Piancó
350,735.0,-7.5118,-37.6366,2023.0,3.0,26.0,Agua Branca,Piancó
4,735.0,-7.5118,-37.6366,1994.0,5.0,56.0,Agua Branca,Piancó
